case,k_pi,nh_from,nh_to,eta,delta_E,delta_Z,spectral_l1,rest_spectral_l1,recursion_l1,reference_certified
A,0.5,12,14,0.2,0.0004609693582777741,0.0005534339552686618,0.006744824627909846,0.007404939323994179,5.884011429216785e-11,False
A,0.5,14,16,0.05,0.00016968212886792067,0.0002561856864201559,0.11369534481551727,0.11821418054013202,3.823083634689384e-06,False
A,0.5,14,16,0.025,0.00016968212886792067,0.0002561856864201559,0.24788112853601996,0.2574431993216415,0.0007262645038928424,False
A,0.5,14,16,0.1,0.00016968212886792067,0.0002561856864201559,0.02843479715759403,0.029671739509248615,3.5989964575179394e-10,False
A,0.5,14,16,0.2,0.00016968212886792067,0.0002561856864201559,0.0025748790566004717,0.0028557782992031083,1.2623796904124554e-15,False
A,0.5,16,18,0.05,6.30801850236562e-05,0.00011577838546376201,0.07095486162435821,0.07374312036577384,7.978544738282106e-06,False
A,0.5,16,18,0.025,6.30801850236562e-05,0.00011577838546376201,0.17296307890645432,0.17963148817836336,0.0011769643232084478,False
A,0.5,16,18,0.1,6.30801850236562e-05,0.00011577838546376201,0.014282326002694598,0.014893634749631832,1.388539985210917e-09,False
A,0.5,16,18,0.2,6.30801850236562e-05,0.00011577838546376201,0.0010680969670296488,0.0011973071388369251,1.5019865049706583e-15,False
A,0.5,18,20,0.05,2.363388171633396e-05,5.1283430659139484e-05,0.05316052094103396,0.05522369843744581,6.00561415467322e-08,False
A,0.5,18,20,0.025,2.363388171633396e-05,5.1283430659139484e-05,0.15229360917773438,0.15814827475012985,6.46242137955489e-05,False
A,0.5,18,20,0.1,2.363388171633396e-05,5.1283430659139484e-05,0.008049636292507822,0.008388983056504748,1.7786832538704926e-13,False
A,0.5,18,20,0.2,2.363388171633396e-05,5.1283430659139484e-05,0.00048490180246410833,0.0005423547019641156,2.5887945946685226e-15,True
A,1.0,10,12,0.05,0.0037298354257042643,0.0004747039762706927,0.2423815992090522,0.24370054312715672,0.0017901021065338644,False
A,1.0,10,12,0.025,0.0037298354257042643,0.0004747039762706927,0.43211990665761674,0.43398440940365063,0.04163302399457105,False
A,1.0,10,12,0.1,0.0037298354257042643,0.0004747039762706927,0.0864260424233141,0.08713720722749291,3.8138749639581183e-06,False
A,1.0,10,12,0.2,0.0037298354257042643,0.0004747039762706927,0.016472303105926536,0.01689509813275493,2.5879703764167995e-11,False
A,1.0,12,14,0.05,0.0018299480033181492,0.00030152985233251363,0.09126624726073186,0.09184058688582519,0.0039433499594503495,False
A,1.0,12,14,0.025,0.0018299480033181492,0.00030152985233251363,0.18154361394921423,0.18235385112899505,0.0647098156954684,False
A,1.0,12,14,0.1,0.0018299480033181492,0.00030152985233251363,0.03178948664679559,0.0321181359162509,1.6404008107882473e-05,False
A,1.0,12,14,0.2,0.0018299480033181492,0.00030152985233251363,0.005344270532828491,0.005594048125750546,4.037613267706552e-10,False
A,1.0,14,16,0.05,0.0009620912867875919,0.00019908374719822264,0.0444379325807103,0.04475278724068007,5.268676710515401e-05,False
A,1.0,14,16,0.025,0.0009620912867875919,0.00019908374719822264,0.11577612485658499,0.11632718515545322,0.007541564814358876,False
A,1.0,14,16,0.1,0.0009620912867875919,0.00019908374719822264,0.01104522777172581,0.011217170275513125,3.3905506711181256e-09,False
A,1.0,14,16,0.2,0.0009620912867875919,0.00019908374719822264,0.0014730531906474355,0.0016416996476218927,9.932401650187726e-16,False
A,1.0,16,18,0.05,0.0005284147523445526,0.00013405819502868878,0.041229876532752056,0.04148498178858904,0.00010958049516996928,False
A,1.0,16,18,0.025,0.0005284147523445526,0.00013405819502868878,0.09609910284769321,0.09655985793304726,0.01096685755872663,False
A,1.0,16,18,0.1,0.0005284147523445526,0.00013405819502868878,0.010260506520934307,0.010399569672919162,1.4140411502534885e-08,False
A,1.0,16,18,0.2,0.0005284147523445526,0.00013405819502868878,0.0010165262675557861,0.0011348568427690425,1.951048393200208e-15,False
A,1.0,18,20,0.05,0.00029827332071508117,9.092804591536753e-05,0.025160584853311314,0.025318515512329068,8.482436733524155e-07,False
A,1.0,18,20,0.025,0.00029827332071508117,9.092804591536753e-05,0.060301928508668674,0.06060009780159591,0.0009092953269514927,False
A,1.0,18,20,0.1,0.00029827332071508117,9.092804591536753e-05,0.006154062642065153,0.006245796884119452,1.2946092670366578e-12,False
A,1.0,18,20,0.2,0.00029827332071508117,9.092804591536753e-05,0.0005733961129721682,0.0006563548912984308,4.339637902899316e-15,False
D,0.0,10,12,0.05,0.015395718366032263,0.0048026952923578906,0.9467937032776931,0.9818628362439664,0.0029202694888047554,False
D,0.0,10,12,0.025,0.015395718366032263,0.0048026952923578906,1.1842778493857442,1.221075392624605,0.022132439755522378,False
D,0.0,10,12,0.1,0.015395718366032263,0.0048026952923578906,0.696249940762915,0.7249734386891724,6.980478135165091e-05,False
D,0.0,10,12,0.2,0.015395718366032263,0.0048026952923578906,0.424677310093603,0.4441549031704337,6.00065793491748e-08,False
D,0.0,12,14,0.05,0.0031454217938042817,0.0010454360093500384,0.6960579073073963,0.7256460204530559,0.005788697437666526,False
D,0.0,12,14,0.025,0.0031454217938042817,0.0010454360093500384,0.8890335219979886,0.9257592723039245,0.04171645837611584,False
D,0.0,12,14,0.1,0.0031454217938042817,0.0010454360093500384,0.5034245970964396,0.5250357001986957,0.0001750101324766913,False
D,0.0,12,14,0.2,0.0031454217938042817,0.0010454360093500384,0.29206665243460894,0.3045996417489081,2.818752675529088e-07,False
D,0.0,14,16,0.05,0.0004490936934926637,0.00016037285157640552,0.46256368501791506,0.48296533251662765,0.0003017346060552854,False
D,0.0,14,16,0.025,0.0004490936934926637,0.00016037285157640552,0.6366956205024487,0.6649204720427968,0.00742568177200159,False
D,0.0,14,16,0.1,0.0004490936934926637,0.00016037285157640552,0.3312353774335569,0.3455942124439889,8.358669519875546e-07,False
D,0.0,14,16,0.2,0.0004490936934926637,0.00016037285157640552,0.18482256363123878,0.19254232684428857,1.2326542593507183e-11,False
D,0.0,16,18,0.05,4.7016588901271916e-05,1.7800726459772653e-05,0.2842520164188852,0.2968911793519228,0.0004584779243095153,False
D,0.0,16,18,0.025,4.7016588901271916e-05,1.7800726459772653e-05,0.39614134877181095,0.4139528327579965,0.00915167955311467,False
D,0.0,16,18,0.1,4.7016588901271916e-05,1.7800726459772653e-05,0.19785516037277823,0.20644757257791777,1.8760171310613837e-06,False
D,0.0,16,18,0.2,4.7016588901271916e-05,1.7800726459772653e-05,0.10642919211387254,0.11084038248978967,6.157557052076196e-11,False
D,0.0,18,20,0.05,3.7865340267728698e-06,1.5010770123488615e-06,0.15487275846643253,0.16176940752713276,1.9661925288447205e-05,False
D,0.0,18,20,0.025,3.7865340267728698e-06,1.5010770123488615e-06,0.2090126199322104,0.21843401066117218,0.0015931032419262557,False
D,0.0,18,20,0.1,3.7865340267728698e-06,1.5010770123488615e-06,0.10525665930996048,0.10982924436528821,5.369771724530263e-09,False
D,0.0,18,20,0.2,3.7865340267728698e-06,1.5010770123488615e-06,0.05516727402597266,0.05745016317914399,1.1378342889613333e-14,False
D,0.5,10,12,0.05,0.020369189154565426,0.0009674422424972746,0.822168881601224,0.8266482016799835,0.013410110763108956,False
D,0.5,10,12,0.025,0.020369189154565426,0.0009674422424972746,0.9615381847840164,0.9650792840962858,0.10344945287855248,False
D,0.5,10,12,0.1,0.020369189154565426,0.0009674422424972746,0.6426416556310215,0.646871311800888,0.0002965244394255573,False
